LAMMPS (2 Aug 2023 - Update 2)
OMP_NUM_THREADS environment is not set. Defaulting to 1 thread. (src/comm.cpp:98)
  using 1 OpenMP thread(s) per MPI task
Reading data file ...
  orthogonal box = (0 0 0) to (26.120978 8.787871 61.242016)
  1 by 1 by 1 MPI processor grid
  reading atoms ...
  552 atoms
  reading velocities ...
  552 velocities
  read_data CPU = 0.041 seconds
Neighbor list info ...
  update: every = 1 steps, delay = 0 steps, check = yes
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 8
  ghost atom cutoff = 8
  binsize = 4, bins = 7 3 16
  2 neighbor lists, perpetual/occasional/extra = 2 0 0
  (1) pair meam, perpetual
      attributes: full, newton on
      pair build: full/bin/atomonly
      stencil: full/bin/3d
      bin: standard
  (2) pair meam, perpetual, half/full from (1)
      attributes: half, newton on
      pair build: halffull/newton
      stencil: none
      bin: none
Setting up cg style minimization ...
  Unit style    : metal
  Current step  : 0
WARNING: Energy due to 3 extra global DOFs will be included in minimizer energies
 (src/min.cpp:228)
Per MPI rank memory allocation (min/avg/max) = 11.05 | 11.05 | 11.05 Mbytes
   Step         PotEng         TotEng          Fmax          Press          Volume    
         0  -705.08616     -705.08616      0.47789794    -12785.921      14057.969    
        10  -705.28774     -705.28774      0.48038073    -12155.689      14031.857    
        20  -705.47621     -705.47621      0.48284816    -11519.108      14005.858    
        30  -705.65149     -705.65149      0.48529872    -10876.381      13979.981    
        40  -705.81352     -705.81352      0.48773068    -10227.781      13954.235    
        50  -705.96224     -705.96224      0.49014184    -9573.6489      13928.634    
        60  -706.09762     -706.09762      0.49252991    -8914.4143      13903.192    
        70  -706.21963     -706.21963      0.49489177    -8250.633       13877.928    
        80  -706.32826     -706.32826      0.4972237     -7583.0276      13852.866    
        90  -706.42355     -706.42355      0.49952092    -6912.5437      13828.037    
       100  -706.50554     -706.50554      0.50177714    -6240.4688      13803.481    
       110  -706.57436     -706.57436      0.50398373    -5568.5976      13779.256    
       120  -706.63018     -706.63018      0.50612785    -4899.5711      13755.446    
       130  -706.67329     -706.67329      0.50818984    -4237.5077      13732.181    
       140  -706.70417     -706.70417      0.51013496    -3589.5163      13709.689    
       150  -706.72364     -706.72364      0.51189116    -2970.0163      13688.434    
       160  -706.73356     -706.73356      0.51324083    -2419.5294      13669.739    
       170  -706.83154     -706.83154      0.50527103    -2140.1922      13660.107    
       180  -706.85748     -706.85748      0.50282449    -2139.3347      13660.041    
       190  -706.88222     -706.88222      0.50042911    -2141.7546      13660.095    
       200  -706.9069      -706.9069       0.49797692    -2143.7219      13660.14     
       210  -706.93254     -706.93254      0.49535989    -2145.2708      13660.178    
       220  -706.96043     -706.96043      0.49243032    -2146.3532      13660.208    
       230  -706.99283     -706.99283      0.48891198    -2146.7794      13660.227    
       240  -707.03583     -707.03583      0.48404113    -2145.8798      13660.225    
       250  -707.16013     -707.16013      0.46853331    -2133.4593      13660.036    
       260  -707.21756     -707.21756      0.46044291    -2140.8224      13660.472    
       270  -707.23734     -707.23734      0.45751392    -2142.3657      13660.602    
       280  -707.25551     -707.25551      0.4547616     -2140.2545      13660.609    
       290  -707.27285     -707.27285      0.45207439    -2138.0146      13660.614    
       300  -707.28949     -707.28949      0.44943512    -2135.722       13660.619    
       310  -707.30555     -707.30555      0.44683182    -2133.3798      13660.624    
       320  -707.3211      -707.3211       0.44425567    -2130.9939      13660.63     
       330  -707.3362      -707.3362       0.44169995    -2128.568       13660.636    
       340  -707.35091     -707.35091      0.4391593     -2126.1066      13660.643    
       350  -707.36527     -707.36527      0.43662967    -2123.6147      13660.651    
       360  -707.3793      -707.3793       0.43410777    -2121.0975      13660.66     
       370  -707.39303     -707.39303      0.43159093    -2118.5604      13660.67     
       380  -707.40648     -707.40648      0.42907706    -2116.0088      13660.681    
       390  -707.41968     -707.41968      0.4265644     -2113.4477      13660.694    
       400  -707.43263     -707.43263      0.42405155    -2110.8818      13660.708    
       410  -707.44536     -707.44536      0.42153729    -2108.3151      13660.724    
       420  -707.45786     -707.45786      0.41902061    -2105.7516      13660.741    
       430  -707.47017     -707.47017      0.41650073    -2103.1947      13660.761    
       440  -707.48227     -707.48227      0.41397694    -2100.6479      13660.782    
       450  -707.49419     -707.49419      0.41144851    -2098.1149      13660.804    
       460  -707.50592     -707.50592      0.408915      -2095.5992      13660.829    
       470  -707.51749     -707.51749      0.40637602    -2093.1027      13660.856    
       480  -707.52888     -707.52888      0.40383115    -2090.6275      13660.885    
       490  -707.54012     -707.54012      0.4012801     -2088.175       13660.916    
       500  -707.5512      -707.5512       0.39872263    -2085.7462      13660.948    
       510  -707.56212     -707.56212      0.39615845    -2083.3413      13660.983    
       520  -707.57291     -707.57291      0.39358726    -2080.961       13661.02     
       530  -707.58355     -707.58355      0.39100889    -2078.6058      13661.058    
       540  -707.59405     -707.59405      0.38842317    -2076.276       13661.099    
       550  -707.60443     -707.60443      0.3858299     -2073.9713      13661.141    
       560  -707.61467     -707.61467      0.3832288     -2071.6918      13661.185    
       570  -707.62479     -707.62479      0.38061967    -2069.4373      13661.231    
       580  -707.63479     -707.63479      0.37800232    -2067.2075      13661.279    
       590  -707.64467     -707.64467      0.37537651    -2065.0021      13661.328    
       600  -707.65443     -707.65443      0.37274204    -2062.8205      13661.379    
       610  -707.66409     -707.66409      0.37009875    -2060.6619      13661.432    
