LAMMPS (2 Aug 2023 - Update 2)
OMP_NUM_THREADS environment is not set. Defaulting to 1 thread. (src/comm.cpp:98)
  using 1 OpenMP thread(s) per MPI task
Reading data file ...
  triclinic box = (0 0 0) to (52.241956 22.62143 51.148607) with tilt (-13.060489 0 0)
WARNING: Triclinic box skew is large. LAMMPS will run inefficiently. (src/domain.cpp:220)
  1 by 1 by 1 MPI processor grid
  reading atoms ...
  2208 atoms
  reading velocities ...
  2208 velocities
  read_data CPU = 0.049 seconds
Neighbor list info ...
  update: every = 1 steps, delay = 0 steps, check = yes
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 8
  ghost atom cutoff = 8
  binsize = 4, bins = 17 6 13
  2 neighbor lists, perpetual/occasional/extra = 2 0 0
  (1) pair meam, perpetual
      attributes: full, newton on
      pair build: full/bin/atomonly
      stencil: full/bin/3d
      bin: standard
  (2) pair meam, perpetual, half/full from (1)
      attributes: half, newton on
      pair build: halffull/newton
      stencil: none
      bin: none
Setting up cg style minimization ...
  Unit style    : metal
  Current step  : 0
WARNING: Energy due to 3 extra global DOFs will be included in minimizer energies
 (src/min.cpp:228)
Per MPI rank memory allocation (min/avg/max) = 14.58 | 14.58 | 14.58 Mbytes
   Step         PotEng         TotEng          Fmax          Press          Volume    
         0  -2805.0025     -2805.0025      0.59292468    -11532.635      60446.797    
        10  -2805.9078     -2805.9078      0.59073468    -10904.393      60325.964    
        20  -2806.7553     -2806.7553      0.58849725    -10266.911      60205.252    
        30  -2807.5441     -2807.5441      0.58621171    -9620.069       60084.661    
        40  -2808.2736     -2808.2736      0.58387699    -8963.7774      59964.19     
        50  -2808.943      -2808.943       0.5814925     -8297.9165      59843.841    
        60  -2809.5516     -2809.5516      0.57905741    -7622.3883      59723.612    
        70  -2810.0985     -2810.0985      0.57657063    -6937.0755      59603.504    
        80  -2810.5831     -2810.5831      0.57403145    -6241.8744      59483.517    
        90  -2811.0045     -2811.0045      0.57143893    -5536.6725      59363.652    
       100  -2811.362      -2811.362       0.56879173    -4821.3523      59243.907    
       110  -2811.6548     -2811.6548      0.56608884    -4095.8077      59124.282    
       120  -2811.8821     -2811.8821      0.5633285     -3359.9182      59004.779    
       130  -2812.0432     -2812.0432      0.56050762    -2613.5782      58885.397    
       140  -2812.1375     -2812.1375      0.55761884    -1856.6736      58766.136    
       150  -2812.1746     -2812.1746      0.55497163    -1243.8921      58670.814    
       160  -2812.2259     -2812.2259      0.55353494    -1245.9718      58670.813    
       170  -2812.2819     -2812.2819      0.5519467     -1248.2137      58670.813    
       180  -2812.3455     -2812.3455      0.55011343    -1250.725       58670.812    
       190  -2812.4247     -2812.4247      0.54779138    -1253.6783      58670.793    
       200  -2812.5197     -2812.5197      0.54486905    -1235.2939      58667.396    
       210  -2812.5598     -2812.5598      0.54360784    -1227.8132      58666.01     
       220  -2812.6004     -2812.6004      0.54235726    -1229.1649      58665.987    
       230  -2812.6418     -2812.6418      0.54106891    -1230.6755      58665.986    
       240  -2812.6844     -2812.6844      0.53972986    -1232.2129      58665.986    
       250  -2812.7286     -2812.7286      0.53832268    -1233.791       58665.986    
       260  -2812.7752     -2812.7752      0.53682231    -1235.4324      58665.986    
       270  -2812.8253     -2812.8253      0.53518933    -1237.1713      58665.986    
       280  -2812.8809     -2812.8809      0.53335381    -1239.0684      58665.986    
       290  -2812.9461     -2812.9461      0.53116417    -1241.2544      58665.986    
       300  -2813.0351     -2813.0351      0.52811602    -1244.1457      58665.984    
       310  -2813.1759     -2813.1759      0.52298857    -1204.3759      58659.162    
       320  -2813.21       -2813.21        0.52175724    -1207.6385      58659.506    
       330  -2813.2462     -2813.2462      0.52043854    -1208.7027      58659.502    
       340  -2813.2824     -2813.2824      0.5191038     -1209.7759      58659.502    
       350  -2813.3189     -2813.3189      0.51774566    -1210.8419      58659.502    
       360  -2813.3559     -2813.3559      0.51635545    -1211.9065      58659.502    
       370  -2813.3937     -2813.3937      0.51492275    -1212.9761      58659.502    
       380  -2813.4325     -2813.4325      0.51343439    -1214.0584      58659.502    
       390  -2813.4728     -2813.4728      0.51187269    -1215.1628      58659.502    
