LAMMPS (2 Aug 2023 - Update 2)
OMP_NUM_THREADS environment is not set. Defaulting to 1 thread. (src/comm.cpp:98)
  using 1 OpenMP thread(s) per MPI task
Reading data file ...
  orthogonal box = (0 0 0) to (38.954501 17.420983 38.839004)
  1 by 1 by 1 MPI processor grid
  reading atoms ...
  936 atoms
  reading velocities ...
  936 velocities
  read_data CPU = 0.035 seconds
Neighbor list info ...
  update: every = 1 steps, delay = 0 steps, check = yes
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 8
  ghost atom cutoff = 8
  binsize = 4, bins = 10 5 10
  2 neighbor lists, perpetual/occasional/extra = 2 0 0
  (1) pair meam, perpetual
      attributes: full, newton on
      pair build: full/bin/atomonly
      stencil: full/bin/3d
      bin: standard
  (2) pair meam, perpetual, half/full from (1)
      attributes: half, newton on
      pair build: halffull/newton
      stencil: none
      bin: none
Setting up cg style minimization ...
  Unit style    : metal
  Current step  : 0
WARNING: Energy due to 3 extra global DOFs will be included in minimizer energies
 (src/min.cpp:228)
Per MPI rank memory allocation (min/avg/max) = 11.86 | 11.86 | 11.86 Mbytes
   Step         PotEng         TotEng          Fmax          Press          Volume    
         0  -998.83884     -998.83884      0.42048264    -9705.6098      26357.146    
        10  -999.15138     -999.15138      0.41925753    -9315.6966      26306.282    
        20  -999.44819     -999.44819      0.41802072    -8920.8001      26255.52     
        30  -999.72912     -999.72912      0.41677256    -8520.9062      26204.863    
        40  -999.99401     -999.99401      0.41551285    -8116.0015      26154.315    
        50  -1000.2427     -1000.2427      0.41424161    -7706.0911      26103.881    
        60  -1000.4751     -1000.4751      0.41295929    -7291.1767      26053.565    
        70  -1000.6911     -1000.6911      0.41166564    -6871.279       26003.374    
        80  -1000.8904     -1000.8904      0.41036079    -6446.425       25953.315    
        90  -1001.073      -1001.073       0.40904493    -6016.6668      25903.398    
       100  -1001.2387     -1001.2387      0.40771828    -5582.0807      25853.633    
       110  -1001.3875     -1001.3875      0.40638061    -5142.7746      25804.037    
       120  -1001.5191     -1001.5191      0.40503224    -4698.9029      25754.626    
       130  -1001.6336     -1001.6336      0.40367339    -4250.6967      25705.428    
       140  -1001.7308     -1001.7308      0.40230383    -3798.4997      25656.479    
       150  -1001.8106     -1001.8106      0.40092382    -3342.8397      25607.835    
       160  -1001.8732     -1001.8732      0.39953306    -2884.6179      25559.584    
       170  -1001.9186     -1001.9186      0.39813096    -2425.4946      25511.89     
       180  -1001.9471     -1001.9471      0.3967143     -1969.3014      25465.13     
       190  -1001.9602     -1001.9602      0.39525832    -1531.1307      25420.79     
       200  -1001.9894     -1001.9894      0.39361823    -1457.6149      25413.106    
       210  -1002.0252     -1002.0252      0.3919664     -1462.176       25413.162    
       220  -1002.0802     -1002.0802      0.38939737    -1469.2555      25413.263    
       230  -1002.1882     -1002.1882      0.38393653    -1381.7652      25403.318    
       240  -1002.2199     -1002.2199      0.38238562    -1385.9594      25403.399    
       250  -1002.2477     -1002.2477      0.38100895    -1389.5738      25403.464    
       260  -1002.2743     -1002.2743      0.37968621    -1393.0101      25403.527    
       270  -1002.3011     -1002.3011      0.37834261    -1396.4642      25403.591    
       280  -1002.3297     -1002.3297      0.37689304    -1400.1504      25403.66     
       290  -1002.3636     -1002.3636      0.37516184    -1404.4991      25403.744    
       300  -1002.4238     -1002.4238      0.37203941    -1412.1103      25403.887    
       310  -1002.5583     -1002.5583      0.36485668    -1427.7924      25404.104    
       320  -1002.5834     -1002.5834      0.3634859     -1430.7073      25404.148    
       330  -1002.6075     -1002.6075      0.36215718    -1433.496       25404.191    
       340  -1002.6317     -1002.6317      0.36081394    -1436.2859      25404.234    
       350  -1002.6571     -1002.6571      0.35939462    -1439.2023      25404.28     
       360  -1002.6854     -1002.6854      0.35779601    -1442.449       25404.332    
       370  -1002.7219     -1002.7219      0.35572179    -1446.6022      25404.399    
       380  -1002.8339     -1002.8339      0.34887245    -1356.9827      25394.379    
       390  -1002.8656     -1002.8656      0.34699208    -1360.5231      25394.441    
       400  -1002.8909     -1002.8909      0.34547302    -1363.3446      25394.491    
       410  -1002.9137     -1002.9137      0.34410055    -1365.8675      25394.536    
       420  -1002.9352     -1002.9352      0.3427935     -1368.247       25394.579    
       430  -1002.9564     -1002.9564      0.34150313    -1370.5741      25394.621    
       440  -1002.9778     -1002.9778      0.34018796    -1372.9238      25394.664    
       450  -1003.0003     -1003.0003      0.33879856    -1375.3821      25394.71     
       460  -1003.0251     -1003.0251      0.33725293    -1378.0883      25394.761    
       470  -1003.0555     -1003.0555      0.33534692    -1381.3847      25394.823    
       480  -1003.1195     -1003.1195      0.33127999    -1388.2679      25394.956    
       490  -1003.1778     -1003.1778      0.32751207    -1394.46        25395.077    
       500  -1003.2048     -1003.2048      0.32574922    -1397.3227      25395.135    
