LAMMPS (2 Aug 2023 - Update 2)
OMP_NUM_THREADS environment is not set. Defaulting to 1 thread. (src/comm.cpp:98)
  using 1 OpenMP thread(s) per MPI task
Reading data file ...
  triclinic box = (0 0 0) to (14.451674 51.457922 25.372261) with tilt (-11.407947 0 0)
  1 by 1 by 1 MPI processor grid
  reading atoms ...
  440 atoms
  read_data CPU = 0.030 seconds
Neighbor list info ...
  update: every = 1 steps, delay = 0 steps, check = yes
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 8
  ghost atom cutoff = 8
  binsize = 4, bins = 7 13 7
  2 neighbor lists, perpetual/occasional/extra = 2 0 0
  (1) pair meam, perpetual
      attributes: full, newton on
      pair build: full/bin/atomonly
      stencil: full/bin/3d
      bin: standard
  (2) pair meam, perpetual, half/full from (1)
      attributes: half, newton on
      pair build: halffull/newton
      stencil: none
      bin: none
Setting up cg style minimization ...
  Unit style    : metal
  Current step  : 0
WARNING: Energy due to 3 extra global DOFs will be included in minimizer energies
 (src/min.cpp:228)
Per MPI rank memory allocation (min/avg/max) = 10.34 | 10.34 | 10.34 Mbytes
   Step         PotEng         TotEng          Fmax          Press          Volume    
         0  -501.09046     -501.09046      1.1963904     -8287.4001      18868.161    
        10  -501.27201     -501.27201      1.2105251     -7991.6916      18834.142    
        20  -501.44508     -501.44508      1.2246625     -7692.9996      18800.273    
        30  -501.60963     -501.60963      1.2387922     -7391.3942      18766.56     
        40  -501.76562     -501.76562      1.2529038     -7086.9553      18733.013    
        50  -501.91301     -501.91301      1.2669856     -6779.7753      18699.64     
        60  -502.05177     -502.05177      1.281023      -6469.9649      18666.45     
        70  -502.18188     -502.18188      1.2950007     -6157.6573      18633.457    
        80  -502.30332     -502.30332      1.3089009     -5843.0023      18600.672    
        90  -502.41609     -502.41609      1.3227019     -5526.1865      18568.113    
       100  -502.52018     -502.52018      1.3363792     -5207.4257      18535.796    
       110  -502.6156      -502.6156       1.3499041     -4886.9832      18503.744    
       120  -502.70238     -502.70238      1.3632412     -4565.1773      18471.982    
       130  -502.78055     -502.78055      1.3763475     -4242.3997      18440.542    
       140  -502.85017     -502.85017      1.3891708     -3919.137       18409.463    
       150  -502.91133     -502.91133      1.401644      -3596.0076      18378.794    
       160  -502.96412     -502.96412      1.4136798     -3273.8126      18348.597    
       170  -503.00871     -503.00871      1.4251608     -2953.6217      18318.96     
       180  -503.0453      -503.0453       1.4359236     -2636.912       18289.999    
       190  -503.07418     -503.07418      1.4457235     -2325.8356      18261.888    
       200  -503.09578     -503.09578      1.4541663     -2023.7457      18234.9      
       210  -503.11079     -503.11079      1.4605308     -1736.4612      18209.509    
       220  -503.12057     -503.12057      1.4631679     -1476.0343      18186.716    
       230  -503.13069     -503.13069      1.4553115     -1279.5778      18169.618    
       240  -503.47335     -503.47335      1.2142322     -1209.3637      18160.12     
       250  -503.55153     -503.55153      1.163957      -1195.5577      18158.341    
       260  -503.64353     -503.64353      1.1041699     -1188.8831      18157.163    
       270  -503.75221     -503.75221      1.0349095     -1174.4371      18155.342    
       280  -503.85625     -503.85625      0.97002048    -1159.1441      18153.621    
       290  -503.95219     -503.95219      0.91157039    -1144.3357      18152.112    
       300  -504.04067     -504.04067      0.85898928    -1130.1029      18150.797    
       310  -504.12251     -504.12251      0.81158479    -1116.4331      18149.653    
       320  -504.19845     -504.19845      0.76873352    -1103.3035      18148.656    
       330  -504.26913     -504.26913      0.72988419    -1090.6893      18147.787    
       340  -504.3351      -504.3351       0.6945575     -1078.5647      18147.032    
       350  -504.39685     -504.39685      0.66235902    -1066.9029      18146.375    
       360  -504.45481     -504.45481      0.63288938    -1055.676       18145.806    
       370  -504.50936     -504.50936      0.60583132    -1044.8593      18145.312    
       380  -504.56082     -504.56082      0.5809098     -1034.4267      18144.887    
       390  -504.60947     -504.60947      0.55788699    -1024.3538      18144.521    
       400  -504.65558     -504.65558      0.53655545    -1014.6187      18144.209    
       410  -504.69937     -504.69937      0.5167362     -1005.1994      18143.945    
       420  -504.74103     -504.74103      0.49827198    -996.07623      18143.724    
       430  -504.78073     -504.78073      0.48102726    -987.23083      18143.541    
       440  -504.81864     -504.81864      0.46488184    -978.64622      18143.394    
       450  -504.8549      -504.8549       0.44973099    -970.30637      18143.278    
       460  -504.88963     -504.88963      0.43548258    -962.19612      18143.191    
       470  -504.92294     -504.92294      0.42205492    -954.3018       18143.13     
       480  -504.95494     -504.95494      0.40937705    -946.61101      18143.093    
       490  -504.98571     -504.98571      0.39738518    -939.11235      18143.078    
       500  -505.01533     -505.01533      0.3860223     -931.795        18143.084    
       510  -505.04388     -505.04388      0.37523856    -924.64915      18143.108    
       520  -505.07143     -505.07143      0.36498895    -917.66597      18143.149    
       530  -505.09804     -505.09804      0.35523214    -910.83701      18143.206    
       540  -505.12376     -505.12376      0.34593157    -904.15407      18143.278    
       550  -505.14865     -505.14865      0.3388229     -897.60944      18143.364    
       560  -505.17276     -505.17276      0.33493598    -891.1966       18143.462    
       570  -505.19612     -505.19612      0.33109381    -884.90929      18143.573    
       580  -505.21878     -505.21878      0.32729492    -878.74109      18143.694    
       590  -505.24077     -505.24077      0.32353784    -872.6867       18143.826    
       600  -505.26213     -505.26213      0.31982138    -866.74148      18143.968    
       610  -505.28289     -505.28289      0.3161444     -860.90078      18144.119    
       620  -505.30307     -505.30307      0.3125056     -855.16029      18144.278    
       630  -505.32271     -505.32271      0.3089037     -849.51543      18144.446    
       640  -505.34184     -505.34184      0.30533757    -843.96184      18144.621    
       650  -505.36047     -505.36047      0.30180627    -838.4954       18144.804    
       660  -505.37862     -505.37862      0.29830886    -833.11233      18144.993    
       670  -505.39633     -505.39633      0.29484458    -827.80967      18145.189    
       680  -505.4136      -505.4136       0.29141258    -822.58435      18145.392    
       690  -505.43045     -505.43045      0.28801211    -817.4333       18145.599    
       700  -505.44691     -505.44691      0.28464242    -812.35355      18145.813    
       710  -505.46299     -505.46299      0.28130292    -807.34245      18146.032    
       720  -505.4787      -505.4787       0.27799299    -802.39758      18146.255    
       730  -505.49405     -505.49405      0.27471197    -797.51662      18146.484    
       740  -505.50907     -505.50907      0.27145919    -792.69734      18146.716    
       750  -505.52376     -505.52376      0.26823413    -787.93754      18146.954    
       760  -505.53814     -505.53814      0.26503632    -783.23526      18147.195    
       770  -505.55221     -505.55221      0.2618652     -778.58844      18147.441    
       780  -505.56599     -505.56599      0.25872011    -773.99468      18147.69     
       790  -505.57949     -505.57949      0.25560057    -769.45218      18147.943    
       800  -505.59271     -505.59271      0.25250623    -764.95913      18148.199    
       810  -505.60567     -505.60567      0.24943676    -760.514        18148.458    
       820  -505.61838     -505.61838      0.24639175    -756.11518      18148.721    
       830  -505.63084     -505.63084      0.24337074    -751.76103      18148.987    
       840  -505.64307     -505.64307      0.24037332    -747.45001      18149.256    
       850  -505.65506     -505.65506      0.23739919    -743.18062      18149.527    
       860  -505.66683     -505.66683      0.2344494     -738.90504      18149.797    
       870  -505.67833     -505.67833      0.23153164    -734.60206      18150.062    
       880  -505.68956     -505.68956      0.2286541     -730.28668      18150.321    
       890  -505.70048     -505.70048      0.22582327    -725.97189      18150.574    
       900  -505.7111      -505.7111       0.22304358    -721.66806      18150.82     
       910  -505.72141     -505.72141      0.22031757    -717.38285      18151.06     
       920  -505.73142     -505.73142      0.21764599    -713.12113      18151.293    
       930  -505.74113     -505.74113      0.21502793    -708.88517      18151.52     
       940  -505.75057     -505.75057      0.21246137    -704.67499      18151.74     
       950  -505.75974     -505.75974      0.20994321    -700.48862      18151.956    
       960  -505.76868     -505.76868      0.20746951    -696.32227      18152.166    
       970  -505.77739     -505.77739      0.20503558    -692.17055      18152.372    
       980  -505.78592     -505.78592      0.20263608    -688.02655      18152.573    
       990  -505.79427     -505.79427      0.20026512    -683.88186      18152.771    
      1000  -505.80248     -505.80248      0.19791627    -679.72655      18152.966    
      1010  -505.81058     -505.81058      0.19558249    -675.54892      18153.159    
      1020  -505.81859     -505.81859      0.19325588    -671.33513      18153.35     
      1030  -505.82655     -505.82655      0.1909275     -667.06864      18153.541    
      1040  -505.83448     -505.83448      0.18858684    -662.7293       18153.731    
      1050  -505.84245     -505.84245      0.18622119    -658.29194      18153.923    
      1060  -505.85049     -505.85049      0.1838146     -653.72409      18154.117    
      1070  -505.85867     -505.85867      0.18134624    -648.98202      18154.315    
      1080  -505.86709     -505.86709      0.17878712    -644.00387      18154.519    
      1090  -505.87588     -505.87588      0.1760938     -638.69587      18154.733    
      1100  -505.88526     -505.88526      0.17319437    -632.90171      18154.962    
      1110  -505.89567     -505.89567      0.16995051    -626.31969      18155.217    
      1120  -505.90816     -505.90816      0.16601371    -618.18833      18155.525    
      1130  -505.9289      -505.9289       0.15937174    -604.14581      18156.042    
      1140  -505.95148     -505.95148      0.15292612    -661.12044      18162.836    
      1150  -505.95796     -505.95796      0.15079182    -655.41056      18162.919    
      1160  -505.96433     -505.96433      0.1486823     -650.5683       18163.077    
      1170  -505.97066     -505.97066      0.14658058    -645.71447      18163.237    
      1180  -505.977       -505.977        0.14446021    -640.76108      18163.398    
      1190  -505.98346     -505.98346      0.14229042    -635.63245      18163.562    
      1200  -505.99016     -505.99016      0.14002953    -630.22272      18163.733    
      1210  -505.99729     -505.99729      0.13761161    -624.36126      18163.915    
      1220  -506.0052      -506.0052       0.13490958    -617.71596      18164.119    
      1230  -506.01489     -506.01489      0.13158133    -609.38926      18164.369    
      1240  -506.03735     -506.03735      0.12374846    -589.2609       18164.96     
      1250  -506.04727     -506.04727      0.12011515    -569.01408      18164.293    
      1260  -506.05295     -506.05295      0.11807357    -560.64652      18164.196    
      1270  -506.05866     -506.05866      0.1160517     -555.04831      18164.346    
      1280  -506.06449     -506.06449      0.11398078    -549.24799      18164.501    
      1290  -506.07061     -506.07061      0.11180085    -543.05527      18164.664    
      1300  -506.07731     -506.07731      0.10940434    -536.14081      18164.844    
      1310  -506.08538     -506.08538      0.1065102     -527.63816      18165.061    
      1320  -506.10203     -506.10203      0.10047498    -509.70537      18165.547    
      1330  -506.1068      -506.1068       0.099692567   -571.55937      18171.387    
      1340  -506.1122      -506.1122       0.097733523   -564.9008       18171.496    
      1350  -506.11785     -506.11785      0.095685754   -558.34018      18171.655    
      1360  -506.12398     -506.12398      0.09346279    -551.00474      18171.819    
      1370  -506.13102     -506.13102      0.090945104   -545.10259      18172.238    
      1380  -506.13605     -506.13605      0.089278733   -551.61148      18173.469    
      1390  -506.14139     -506.14139      0.087358923   -546.17291      18173.726    
      1400  -506.147       -506.147        0.085313257   -538.76074      18173.866    
      1410  -506.15306     -506.15306      0.083130841   -532.27435      18174.159    
      1420  -506.1583      -506.1583       0.081354659   -535.37792      18175.172    
      1430  -506.16353     -506.16353      0.07950362    -531.70693      18175.611    
      1440  -506.16915     -506.16915      0.077456436   -523.4588       18175.732    
      1450  -506.17491     -506.17491      0.075426389   -519.54097      18176.255    
      1460  -506.17997     -506.17997      0.073697649   -520.31476      18177.092    
      1470  -506.18541     -506.18541      0.071768535   -515.03006      18177.478    
      1480  -506.19116     -506.19116      0.06970539    -507.41925      18177.731    
      1490  -506.19666     -506.19666      0.068343424   -506.16464      18178.501    
      1500  -506.20194     -506.20194      0.067380412   -503.39797      18179.126    
      1510  -506.2077      -506.2077       0.06631769    -497.05077      18179.537    
      1520  -506.21357     -506.21357      0.065212327   -491.15807      18180.027    
      1530  -506.21907     -506.21907      0.06416564    -489.88649      18180.864    
      1540  -506.2249      -506.2249       0.063032824   -483.97873      18181.386    
      1550  -506.23113     -506.23113      0.061806239   -477.65174      18181.962    
      1560  -506.23723     -506.23723      0.060577395   -473.31896      18182.715    
      1570  -506.24336     -506.24336      0.059326723   -468.91125      18183.489    
      1580  -506.25012     -506.25012      0.057914704   -461.33724      18184.146    
      1590  -506.25715     -506.25715      0.056422649   -455.58171      18185.043    
      1600  -506.2643      -506.2643       0.054862485   -448.68265      18185.916    
      1610  -506.27211     -506.27211      0.053133022   -441.44976      18186.933    
      1620  -506.28087     -506.28087      0.051124378   -431.67271      18188.015    
      1630  -506.2907      -506.2907       0.048822382   -422.0896       18189.422    
      1640  -506.3023      -506.3023       0.046183213   -407.98447      18191.003    
      1650  -506.31769     -506.31769      0.044811699   -390.65597      18193.458    
      1660  -506.33812     -506.33812      0.042515315   -360.7703       18196.769    
      1670  -506.36265     -506.36265      0.039258636   -328.00592      18202.071    
      1678  -506.37642     -506.37642      0.036700644   -279.06534      18203.205    
Loop time of 7.09117 on 1 procs for 1678 steps with 440 atoms

99.2% CPU use with 1 MPI tasks x 1 OpenMP threads

Minimization stats:
  Stopping criterion = linesearch alpha is zero
  Energy initial, next-to-last, final = 
     -501.090458273986  -506.376417937837  -506.376417937837
  Force two-norm initial, final = 144.81309 0.4003888
  Force max component initial, final = 112.65178 0.23979602
  Final line search alpha, max atom move = 2.5458663e-08 6.1048862e-09
  Iterations, force evaluations = 1678 1693

MPI task timing breakdown:
Section |  min time  |  avg time  |  max time  |%varavg| %total
---------------------------------------------------------------
Pair    | 7.0439     | 7.0439     | 7.0439     |   0.0 | 99.33
Neigh   | 0.0010512  | 0.0010512  | 0.0010512  |   0.0 |  0.01
Comm    | 0.0045456  | 0.0045456  | 0.0045456  |   0.0 |  0.06
Output  | 0.003873   | 0.003873   | 0.003873   |   0.0 |  0.05
Modify  | 0          | 0          | 0          |   0.0 |  0.00
Other   |            | 0.03776    |            |       |  0.53

Nlocal:            440 ave         440 max         440 min
Histogram: 1 0 0 0 0 0 0 0 0 0
Nghost:            795 ave         795 max         795 min
Histogram: 1 0 0 0 0 0 0 0 0 0
Neighs:          19350 ave       19350 max       19350 min
Histogram: 1 0 0 0 0 0 0 0 0 0
