LAMMPS (2 Aug 2023 - Update 2)
OMP_NUM_THREADS environment is not set. Defaulting to 1 thread. (src/comm.cpp:98)
  using 1 OpenMP thread(s) per MPI task
Reading data file ...
  orthogonal box = (0 0 0) to (32.683781 10.673142 38.628389)
  1 by 1 by 1 MPI processor grid
  reading atoms ...
  440 atoms
  read_data CPU = 0.052 seconds
Neighbor list info ...
  update: every = 1 steps, delay = 0 steps, check = yes
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 8
  ghost atom cutoff = 8
  binsize = 4, bins = 9 3 10
  2 neighbor lists, perpetual/occasional/extra = 2 0 0
  (1) pair meam, perpetual
      attributes: full, newton on
      pair build: full/bin/atomonly
      stencil: full/bin/3d
      bin: standard
  (2) pair meam, perpetual, half/full from (1)
      attributes: half, newton on
      pair build: halffull/newton
      stencil: none
      bin: none
Setting up cg style minimization ...
  Unit style    : metal
  Current step  : 0
WARNING: Energy due to 3 extra global DOFs will be included in minimizer energies
 (src/min.cpp:228)
Per MPI rank memory allocation (min/avg/max) = 10.62 | 10.62 | 10.62 Mbytes
   Step         PotEng         TotEng          Fmax          Press          Volume    
         0  -533.74796     -533.74796      0.76274647    -13107.709      13475.075    
        10  -533.95415     -533.95415      0.76897554    -12666.215      13450.242    
        20  -534.15157     -534.15157      0.77520894    -12219.376      13425.473    
        30  -534.34015     -534.34015      0.78144459    -11767.204      13400.772    
        40  -534.51981     -534.51981      0.7876807     -11309.724      13376.14     
        50  -534.69048     -534.69048      0.79391537    -10846.963      13351.582    
        60  -534.85209     -534.85209      0.80014575    -10378.969      13327.099    
        70  -535.00457     -535.00457      0.80636927    -9905.7912      13302.696    
        80  -535.14785     -535.14785      0.81258319    -9427.5068      13278.379    
        90  -535.28187     -535.28187      0.81878282    -8944.2094      13254.151    
       100  -535.40656     -535.40656      0.82496422    -8456.0201      13230.02     
       110  -535.52189     -535.52189      0.83112183    -7963.0925      13205.993    
       120  -535.62779     -535.62779      0.83724938    -7465.618       13182.078    
       130  -535.72423     -535.72423      0.84333849    -6963.8472      13158.288    
       140  -535.81118     -535.81118      0.84937939    -6458.1064      13134.636    
       150  -535.88862     -535.88862      0.85535872    -5948.8212      13111.139    
       160  -535.95655     -535.95655      0.86125943    -5436.561       13087.822    
       170  -536.01499     -536.01499      0.86705845    -4922.1128      13064.715    
       180  -536.06399     -536.06399      0.87272137    -4406.6031      13041.863    
       190  -536.10367     -536.10367      0.8781967     -3891.7372      13019.335    
       200  -536.13423     -536.13423      0.88339794    -3380.2821      12997.238    
       210  -536.15603     -536.15603      0.88815956    -2877.3321      12975.774    
       220  -536.16991     -536.16991      0.89207312    -2394.4851      12955.406    
       230  -536.17957     -536.17957      0.89314986    -1977.5585      12937.973    
       240  -536.24732     -536.24732      0.86779391    -1960.5183      12936.661    
       250  -536.30056     -536.30056      0.84801541    -1951.5958      12935.841    
       260  -536.3567      -536.3567       0.82634978    -1948.6502      12935.271    
       270  -536.41322     -536.41322      0.80374783    -1947.4787      12934.799    
       280  -536.46842     -536.46842      0.78094559    -1946.3065      12934.369    
       290  -536.52206     -536.52206      0.75811318    -1944.765       12933.965    
       300  -536.57429     -536.57429      0.73527382    -1942.7969      12933.585    
       310  -536.62526     -536.62526      0.71243095    -1940.3917      12933.226    
       320  -536.67514     -536.67514      0.68958566    -1937.5453      12932.888    
       330  -536.72408     -536.72408      0.66674241    -1934.2501      12932.569    
       340  -536.7722      -536.7722       0.64390782    -1930.4963      12932.269    
       350  -536.81962     -536.81962      0.62108712    -1926.2732      12931.987    
       360  -536.86646     -536.86646      0.59828688    -1921.5645      12931.723    
       370  -536.91282     -536.91282      0.57551041    -1916.3548      12931.476    
       380  -536.9588      -536.9588       0.55276145    -1910.6226      12931.245    
       390  -537.00451     -537.00451      0.53003941    -1904.3448      12931.032    
       400  -537.05004     -537.05004      0.50733988    -1897.4868      12930.835    
       410  -537.0955      -537.0955       0.48464913    -1890.0387      12930.657    
       420  -537.14089     -537.14089      0.46201696    -1881.5739      12930.481    
       430  -537.18285     -537.18285      0.44111151    -1880.1798      12930.626    
       440  -537.20894     -537.20894      0.42818163    -1872.6315      12930.462    
       450  -537.24167     -537.24167      0.41200704    -1866.8382      12930.432    
       460  -537.26672     -537.26672      0.39966382    -1861.6469      12930.396    
       470  -537.29514     -537.29514      0.3857392     -1854.1602      12930.31     
       480  -537.3194      -537.3194       0.3738731     -1850.1984      12930.355    
       490  -537.34447     -537.34447      0.36170683    -1841.9134      12930.246    
       500  -537.36793     -537.36793      0.3503369     -1838.3843      12930.335    
       510  -537.3903      -537.3903       0.33970688    -1830.0079      12930.229    
       520  -537.41285     -537.41285      0.32901488    -1826.2225      12930.331    
       530  -537.43305     -537.43305      0.31952087    -1818.3971      12930.254    
       540  -537.45456     -537.45456      0.30942562    -1813.7042      12930.337    
       550  -537.47308     -537.47308      0.30080539    -1807.0454      12930.314    
       560  -537.49333     -537.49333      0.29139915    -1800.9132      12930.35     
       570  -537.51066     -537.51066      0.28341064    -1795.9023      12930.403    
       580  -537.5294      -537.5294       0.27479785    -1788.2125      12930.381    
       590  -537.54601     -537.54601      0.26721413    -1784.8499      12930.515    
       600  -537.56306     -537.56306      0.25946811    -1776.1421      12930.448    
       610  -537.57932     -537.57932      0.25318018    -1773.6769      12930.636    
       620  -537.59466     -537.59466      0.24987293    -1764.9871      12930.562    
       630  -537.61067     -537.61067      0.24647357    -1762.025       12930.749    
       640  -537.62456     -537.62456      0.24341353    -1754.6255      12930.721    
       650  -537.64005     -537.64005      0.23996191    -1749.5794      12930.834    
       660  -537.65303     -537.65303      0.23700775    -1744.6883      12930.91     
       670  -537.66742     -537.66742      0.23364065    -1736.7479      12930.901    
       680  -537.68017     -537.68017      0.2306518     -1734.6408      12931.105    
       690  -537.69301     -537.69301      0.22751212    -1725.0381      12931.011    
       700  -537.70597     -537.70597      0.22436629    -1723.5854      12931.265    
       710  -537.7174      -537.7174       0.22147396    -1715.077       12931.2      
       720  -537.73027     -537.73027      0.21821417    -1710.6351      12931.348    
       730  -537.74094     -537.74094      0.21545524    -1706.0813      12931.442    
       740  -537.75283     -537.75283      0.2123041     -1697.7184      12931.42     
       750  -537.76364     -537.76364      0.20946068    -1696.8991      12931.687    
       760  -537.77405     -537.77405      0.20660226    -1687.8656      12931.612    
       770  -537.78529     -537.78529      0.20354366    -1685.8036      12931.856    
       780  -537.79464     -537.79464      0.20092659    -1679.937       12931.895    
       790  -537.80544     -537.80544      0.19784923    -1672.1233      12931.905    
       800  -537.81474     -537.81474      0.19523093    -1671.8518      12932.187    
       810  -537.82409     -537.82409      0.19245672    -1661.1385      12932.047    
       820  -537.83409     -537.83409      0.18956967    -1660.6359      12932.355    
       830  -537.8424      -537.8424       0.18707419    -1653.9533      12932.36     
       840  -537.85201     -537.85201      0.18415732    -1645.8724      12932.358    
       850  -537.86051     -537.86051      0.1816245     -1646.5916      12932.686    
       860  -537.86866     -537.86866      0.17907345    -1637.7628      12932.615    
       870  -537.87792     -537.87792      0.17621428    -1634.2775      12932.811    
       880  -537.88541     -537.88541      0.17388283    -1631.8313      12932.991    
       890  -537.89347     -537.89347      0.17126038    -1620.8238      12932.845    
       900  -537.90201     -537.90201      0.16859193    -1621.8752      12933.221    
       910  -537.90903     -537.90903      0.16630693    -1615.9029      12933.253    
       920  -537.91686     -537.91686      0.16370889    -1606.5579      12933.185    
       930  -537.92482     -537.92482      0.1611609     -1608.2862      12933.585    
       940  -537.93147     -537.93147      0.15894167    -1602.3879      12933.622    
       950  -537.93885     -537.93885      0.15641491    -1591.4925      12933.489    
       960  -537.94656     -537.94656      0.15389647    -1593.6321      12933.913    
       970  -537.95287     -537.95287      0.15174815    -1588.5074      12933.983    
       980  -537.95967     -537.95967      0.14938505    -1579.5459      12933.921    
