LAMMPS (2 Aug 2023 - Update 2)
OMP_NUM_THREADS environment is not set. Defaulting to 1 thread. (src/comm.cpp:98)
  using 1 OpenMP thread(s) per MPI task
Reading data file ...
  triclinic box = (0 0 0) to (26.888543 14.122763 47.247507) with tilt (3.065691 0 0)
  1 by 1 by 1 MPI processor grid
  reading atoms ...
  660 atoms
  read_data CPU = 0.051 seconds
Neighbor list info ...
  update: every = 1 steps, delay = 0 steps, check = yes
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 8
  ghost atom cutoff = 8
  binsize = 4, bins = 8 4 12
  2 neighbor lists, perpetual/occasional/extra = 2 0 0
  (1) pair meam, perpetual
      attributes: full, newton on
      pair build: full/bin/atomonly
      stencil: full/bin/3d
      bin: standard
  (2) pair meam, perpetual, half/full from (1)
      attributes: half, newton on
      pair build: halffull/newton
      stencil: none
      bin: none
Setting up cg style minimization ...
  Unit style    : metal
  Current step  : 0
WARNING: Energy due to 3 extra global DOFs will be included in minimizer energies
 (src/min.cpp:228)
Per MPI rank memory allocation (min/avg/max) = 11.05 | 11.05 | 11.05 Mbytes
   Step         PotEng         TotEng          Fmax          Press          Volume    
         0  -812.83322     -812.83322      1.1657737     -14750.284      17941.793    
        10  -813.13135     -813.13135      1.1807226     -14226.234      17907.894    
        20  -813.41505     -813.41505      1.1957382     -13695.924      17874.102    
        30  -813.68421     -813.68421      1.2108131     -13159.413      17840.42     
        40  -813.93872     -813.93872      1.2259413     -12616.77       17806.855    
        50  -814.17848     -814.17848      1.2411136     -12068.092      17773.414    
        60  -814.40338     -814.40338      1.2563197     -11513.496      17740.104    
        70  -814.61335     -814.61335      1.2715489     -10953.128      17706.934    
        80  -814.8083      -814.8083       1.2867866     -10387.178      17673.915    
        90  -814.98816     -814.98816      1.302016      -9815.8751      17641.061    
       100  -815.15288     -815.15288      1.3172175     -9239.5154      17608.385    
       110  -815.30241     -815.30241      1.3323652     -8658.4781      17575.908    
       120  -815.43675     -815.43675      1.3474277     -8073.2411      17543.652    
       130  -815.5559      -815.5559       1.3623649     -7484.4343      17511.648    
       140  -815.65991     -815.65991      1.3771224     -6892.905       17479.936    
       150  -815.74888     -815.74888      1.3916267     -6299.807       17448.569    
       160  -815.82299     -815.82299      1.4057727     -5706.7987      17417.623    
       170  -815.88252     -815.88252      1.4193979     -5116.3869      17387.214    
