Compound,x_Zn,T_K,dHf_static_eV,dGf_eV_per_atom
MgZn2,0.666667,0.0,-0.1064,-0.167484
MgZn2,0.666667,10.0,-0.1064,-0.167484
MgZn2,0.666667,20.0,-0.1064,-0.167484
MgZn2,0.666667,30.0,-0.1064,-0.167485
MgZn2,0.666667,40.0,-0.1064,-0.167486
MgZn2,0.666667,50.0,-0.1064,-0.16749
MgZn2,0.666667,60.0,-0.1064,-0.167498
MgZn2,0.666667,70.0,-0.1064,-0.167513
MgZn2,0.666667,80.0,-0.1064,-0.167538
MgZn2,0.666667,90.0,-0.1064,-0.167576
MgZn2,0.666667,100.0,-0.1064,-0.16763
MgZn2,0.666667,110.0,-0.1064,-0.167702
MgZn2,0.666667,120.0,-0.1064,-0.167794
MgZn2,0.666667,130.0,-0.1064,-0.167909
MgZn2,0.666667,140.0,-0.1064,-0.168047
MgZn2,0.666667,150.0,-0.1064,-0.16821
MgZn2,0.666667,160.0,-0.1064,-0.168398
MgZn2,0.666667,170.0,-0.1064,-0.168613
MgZn2,0.666667,180.0,-0.1064,-0.168854
MgZn2,0.666667,190.0,-0.1064,-0.169121
MgZn2,0.666667,200.0,-0.1064,-0.169416
MgZn2,0.666667,210.0,-0.1064,-0.169736
MgZn2,0.666667,220.0,-0.1064,-0.170083
MgZn2,0.666667,230.0,-0.1064,-0.170456
MgZn2,0.666667,240.0,-0.1064,-0.170854
MgZn2,0.666667,250.0,-0.1064,-0.171278
MgZn2,0.666667,260.0,-0.1064,-0.171725
MgZn2,0.666667,270.0,-0.1064,-0.172197
MgZn2,0.666667,280.0,-0.1064,-0.172691
MgZn2,0.666667,290.0,-0.1064,-0.173208
MgZn2,0.666667,300.0,-0.1064,-0.173747
MgZn2,0.666667,310.0,-0.1064,-0.174308
MgZn2,0.666667,320.0,-0.1064,-0.174888
MgZn2,0.666667,330.0,-0.1064,-0.175489
MgZn2,0.666667,340.0,-0.1064,-0.176108
MgZn2,0.666667,350.0,-0.1064,-0.176746
MgZn2,0.666667,360.0,-0.1064,-0.177402
MgZn2,0.666667,370.0,-0.1064,-0.178075
MgZn2,0.666667,380.0,-0.1064,-0.178765
MgZn2,0.666667,390.0,-0.1064,-0.179471
MgZn2,0.666667,400.0,-0.1064,-0.180192
MgZn2,0.666667,410.0,-0.1064,-0.180928
MgZn2,0.666667,420.0,-0.1064,-0.181678
MgZn2,0.666667,430.0,-0.1064,-0.182442
MgZn2,0.666667,440.0,-0.1064,-0.183219
MgZn2,0.666667,450.0,-0.1064,-0.184009
MgZn2,0.666667,460.0,-0.1064,-0.184811
MgZn2,0.666667,470.0,-0.1064,-0.185625
MgZn2,0.666667,480.0,-0.1064,-0.18645
MgZn2,0.666667,490.0,-0.1064,-0.187286
MgZn2,0.666667,500.0,-0.1064,-0.188132
MgZn2,0.666667,510.0,-0.1064,-0.188989
MgZn2,0.666667,520.0,-0.1064,-0.189856
MgZn2,0.666667,530.0,-0.1064,-0.190731
MgZn2,0.666667,540.0,-0.1064,-0.191616
MgZn2,0.666667,550.0,-0.1064,-0.19251
MgZn2,0.666667,560.0,-0.1064,-0.193412
MgZn2,0.666667,570.0,-0.1064,-0.194321
MgZn2,0.666667,580.0,-0.1064,-0.195239
MgZn2,0.666667,590.0,-0.1064,-0.196164
MgZn2,0.666667,600.0,-0.1064,-0.197097
MgZn2,0.666667,610.0,-0.1064,-0.198036
MgZn2,0.666667,620.0,-0.1064,-0.198983
MgZn2,0.666667,630.0,-0.1064,-0.199935
MgZn2,0.666667,640.0,-0.1064,-0.200894
MgZn2,0.666667,650.0,-0.1064,-0.201859
MgZn2,0.666667,660.0,-0.1064,-0.20283
MgZn2,0.666667,670.0,-0.1064,-0.203807
MgZn2,0.666667,680.0,-0.1064,-0.204788
MgZn2,0.666667,690.0,-0.1064,-0.205776
MgZn2,0.666667,700.0,-0.1064,-0.206768
MgZn2,0.666667,710.0,-0.1064,-0.207765
MgZn2,0.666667,720.0,-0.1064,-0.208767
MgZn2,0.666667,730.0,-0.1064,-0.209774
MgZn2,0.666667,740.0,-0.1064,-0.210785
MgZn2,0.666667,750.0,-0.1064,-0.2118
MgZn2,0.666667,760.0,-0.1064,-0.21282
MgZn2,0.666667,770.0,-0.1064,-0.213844
MgZn2,0.666667,780.0,-0.1064,-0.214871
MgZn2,0.666667,790.0,-0.1064,-0.215903
MgZn2,0.666667,800.0,-0.1064,-0.216938
MgZn2,0.666667,810.0,-0.1064,-0.217976
MgZn2,0.666667,820.0,-0.1064,-0.219018
MgZn2,0.666667,830.0,-0.1064,-0.220064
MgZn2,0.666667,840.0,-0.1064,-0.221112
MgZn2,0.666667,850.0,-0.1064,-0.222164
MgZn2,0.666667,860.0,-0.1064,-0.223219
MgZn2,0.666667,870.0,-0.1064,-0.224277
MgZn2,0.666667,880.0,-0.1064,-0.225338
MgZn2,0.666667,890.0,-0.1064,-0.226401
MgZn2,0.666667,900.0,-0.1064,-0.227468
MgZn2,0.666667,910.0,-0.1064,-0.228537
MgZn2,0.666667,920.0,-0.1064,-0.229608
MgZn2,0.666667,930.0,-0.1064,-0.230682
MgZn2,0.666667,940.0,-0.1064,-0.231759
MgZn2,0.666667,950.0,-0.1064,-0.232838
MgZn2,0.666667,960.0,-0.1064,-0.233919
MgZn2,0.666667,970.0,-0.1064,-0.235002
MgZn2,0.666667,980.0,-0.1064,-0.236088
MgZn2,0.666667,990.0,-0.1064,-0.237176
MgZn2,0.666667,1000.0,-0.1064,-0.238265
Mg4Zn7,0.636364,0.0,-0.1016,-0.15901
Mg4Zn7,0.636364,10.0,-0.1016,-0.15901
Mg4Zn7,0.636364,20.0,-0.1016,-0.15901
Mg4Zn7,0.636364,30.0,-0.1016,-0.159011
Mg4Zn7,0.636364,40.0,-0.1016,-0.159012
Mg4Zn7,0.636364,50.0,-0.1016,-0.159016
Mg4Zn7,0.636364,60.0,-0.1016,-0.159023
Mg4Zn7,0.636364,70.0,-0.1016,-0.159037
Mg4Zn7,0.636364,80.0,-0.1016,-0.159059
Mg4Zn7,0.636364,90.0,-0.1016,-0.159094
Mg4Zn7,0.636364,100.0,-0.1016,-0.159143
Mg4Zn7,0.636364,110.0,-0.1016,-0.159209
Mg4Zn7,0.636364,120.0,-0.1016,-0.159294
Mg4Zn7,0.636364,130.0,-0.1016,-0.1594
Mg4Zn7,0.636364,140.0,-0.1016,-0.159528
Mg4Zn7,0.636364,150.0,-0.1016,-0.15968
Mg4Zn7,0.636364,160.0,-0.1016,-0.159855
Mg4Zn7,0.636364,170.0,-0.1016,-0.160055
Mg4Zn7,0.636364,180.0,-0.1016,-0.160281
Mg4Zn7,0.636364,190.0,-0.1016,-0.160531
Mg4Zn7,0.636364,200.0,-0.1016,-0.160807
Mg4Zn7,0.636364,210.0,-0.1016,-0.161108
Mg4Zn7,0.636364,220.0,-0.1016,-0.161434
Mg4Zn7,0.636364,230.0,-0.1016,-0.161785
Mg4Zn7,0.636364,240.0,-0.1016,-0.16216
Mg4Zn7,0.636364,250.0,-0.1016,-0.162559
Mg4Zn7,0.636364,260.0,-0.1016,-0.16298
Mg4Zn7,0.636364,270.0,-0.1016,-0.163425
Mg4Zn7,0.636364,280.0,-0.1016,-0.163892
Mg4Zn7,0.636364,290.0,-0.1016,-0.16438
Mg4Zn7,0.636364,300.0,-0.1016,-0.164888
Mg4Zn7,0.636364,310.0,-0.1016,-0.165417
Mg4Zn7,0.636364,320.0,-0.1016,-0.165965
Mg4Zn7,0.636364,330.0,-0.1016,-0.166533
Mg4Zn7,0.636364,340.0,-0.1016,-0.167118
Mg4Zn7,0.636364,350.0,-0.1016,-0.167721
Mg4Zn7,0.636364,360.0,-0.1016,-0.168341
Mg4Zn7,0.636364,370.0,-0.1016,-0.168977
Mg4Zn7,0.636364,380.0,-0.1016,-0.169628
