T_K,Mg21Zn25,Mg2Zn11,Mg4Zn7,Mg51Zn20,MgZn2
0.0,-0.13757,-0.095202,-0.15901,-0.050203,-0.167484
10.0,-0.13757,-0.095202,-0.15901,-0.050203,-0.167484
20.0,-0.13757,-0.095202,-0.15901,-0.050203,-0.167484
30.0,-0.137571,-0.095205,-0.159011,-0.050204,-0.167485
40.0,-0.137573,-0.095212,-0.159012,-0.050204,-0.167486
50.0,-0.137576,-0.09523,-0.159016,-0.050206,-0.16749
60.0,-0.137584,-0.095261,-0.159023,-0.05021,-0.167498
70.0,-0.137597,-0.09531,-0.159037,-0.050217,-0.167513
80.0,-0.137618,-0.09538,-0.159059,-0.050228,-0.167538
90.0,-0.13765,-0.095475,-0.159094,-0.050246,-0.167576
100.0,-0.137694,-0.095598,-0.159143,-0.050272,-0.16763
110.0,-0.137754,-0.09575,-0.159209,-0.050307,-0.167702
120.0,-0.13783,-0.095935,-0.159294,-0.050353,-0.167794
130.0,-0.137924,-0.096153,-0.1594,-0.050411,-0.167909
140.0,-0.138038,-0.096407,-0.159528,-0.050481,-0.168047
150.0,-0.138172,-0.096698,-0.15968,-0.050563,-0.16821
160.0,-0.138327,-0.097026,-0.159855,-0.05066,-0.168398
170.0,-0.138504,-0.097393,-0.160055,-0.050769,-0.168613
180.0,-0.138704,-0.097797,-0.160281,-0.050892,-0.168854
190.0,-0.138925,-0.098241,-0.160531,-0.051029,-0.169121
200.0,-0.139169,-0.098722,-0.160807,-0.051179,-0.169416
210.0,-0.139435,-0.099242,-0.161108,-0.051342,-0.169736
220.0,-0.139723,-0.099799,-0.161434,-0.051518,-0.170083
230.0,-0.140033,-0.100392,-0.161785,-0.051707,-0.170456
240.0,-0.140364,-0.101022,-0.16216,-0.051907,-0.170854
250.0,-0.140715,-0.101687,-0.162559,-0.052119,-0.171278
260.0,-0.141087,-0.102387,-0.16298,-0.052343,-0.171725
270.0,-0.141479,-0.10312,-0.163425,-0.052577,-0.172197
280.0,-0.141889,-0.103886,-0.163892,-0.052822,-0.172691
290.0,-0.142318,-0.104683,-0.16438,-0.053076,-0.173208
300.0,-0.142766,-0.105511,-0.164888,-0.053341,-0.173747
310.0,-0.14323,-0.106368,-0.165417,-0.053614,-0.174308
320.0,-0.143712,-0.107254,-0.165965,-0.053896,-0.174888
330.0,-0.14421,-0.108167,-0.166533,-0.054186,-0.175489
340.0,-0.144723,-0.109107,-0.167118,-0.054485,-0.176108
350.0,-0.145251,-0.110073,-0.167721,-0.054791,-0.176746
360.0,-0.145794,-0.111063,-0.168341,-0.055104,-0.177402
370.0,-0.146351,-0.112077,-0.168977,-0.055424,-0.178075
