#      T [K]      F [kJ/mol]    S [J/K/mol]  C_v [J/K/mol]     E [kJ/mol]
       0.000    1989.9495721      0.0000000      0.0000000   1989.9495721
      10.000    1989.9495074      0.0275319      0.0857585   1989.9497827
      20.000    1989.9484359      0.2317086      0.7128217   1989.9530701
      30.000    1989.9435894      0.8257019      2.6665734   1989.9683605
      40.000    1989.9294679      2.1637219      7.5302454   1990.0160168
      50.000    1989.8959933      4.8005335     17.4893339   1990.1360200
      60.000    1989.8270436      9.3572267     34.2108349   1990.3884772
      70.000    1989.7007263     16.3438818     58.2698382   1990.8447981
      80.000    1989.4909844     26.0788007     89.3382987   1991.5772884
      90.000    1989.1695224     38.6976023    126.6267086   1992.6523067
     100.000    1988.7074063     54.2015016    169.2384166   1994.1275564
     110.000    1988.0761441     72.5084899    216.3558677   1996.0520780
     120.000    1987.2483111     93.4925112    267.2992980   1998.4674124
     130.000    1986.1978532    117.0086022    321.5182109   2001.4089715
     140.000    1984.9001983    142.9069795    378.5588426   2004.9071755
     150.000    1983.3322657    171.0398787    438.0304340   2008.9882475
     160.000    1981.4724299    201.2642265    499.5792669   2013.6747061
     170.000    1979.3004696    233.4422078    562.8721016   2018.9856450
     180.000    1976.7975170    267.4409573    627.5875629   2024.9368893
     190.000    1973.9460099    303.1320307    693.4131691   2031.5410957
     200.000    1970.7296506    340.3909551    760.0458446   2038.8078416
     210.000    1967.1333675    379.0969640    827.1942320   2046.7437300
     220.000    1963.1432786    419.1329202    894.5816369   2055.3525210
     230.000    1958.7466545    460.3853859    961.9488740   2064.6352933
     240.000    1953.9318815    502.7447899   1029.0566074   2074.5906311
     250.000    1948.6884211    546.1056431   1095.6870067   2085.2148318
     260.000    1943.0067683    590.3667616   1161.6446831   2096.5021263
     270.000    1936.8784077    635.4314714   1226.7569576   2108.4449050
     280.000    1930.2957674    681.2077740   1290.8735559   2121.0339441
     290.000    1923.2521715    727.6084643   1353.8658447   2134.2586261
     300.000    1915.7417918    774.5511966   1415.6257201   2148.1071508
     310.000    1907.7595995    821.9584986   1476.0642550   2162.5667341
     320.000    1899.3013159    869.7577381   1535.1101932   2177.6237921
     330.000    1890.3633650    917.8810467   1592.7083666   2193.2641105
     340.000    1880.9428260    966.2652075   1648.8180934   2209.4729966
     350.000    1871.0373876   1014.8515127   1703.4116039   2226.2354170
     360.000    1860.6453036   1063.5855980   1756.4725256   2243.5361189
     370.000    1849.7653508   1112.4172589   1807.9944521   2261.3597366
     380.000    1838.3967877   1161.3002548   1857.9796099   2279.6908846
     390.000    1826.5393166   1210.1921053   1906.4376307   2298.5142376
     400.000    1814.1930462   1259.0538824   1953.3844336   2317.8145992
     410.000    1801.3584581   1307.8500023   1998.8412158   2337.5769591
     420.000    1788.0363735   1356.5480192   2042.8335481   2357.7865416
     430.000    1774.2279234   1405.1184231   2085.3905718   2378.4288454
     440.000    1759.9345200   1453.5344435   2126.5442885   2399.4896751
     450.000    1745.1578302   1501.7718605   2166.3289377   2420.9551674
     460.000    1729.8997512   1549.8088234   2204.7804530   2442.8118099
     470.000    1714.1623876   1597.6256783   2241.9359918   2465.0464564
     480.000    1697.9480303   1645.2048045   2277.8335289   2487.6463364
     490.000    1681.2591366   1692.5304596   2312.5115095   2510.5990618
     500.000    1664.0983128   1739.5886346   2346.0085534   2533.8926301
     510.000    1646.4682971   1786.3669174   2378.3632056   2557.5154249
     520.000    1628.3719441   1832.8543649   2409.6137269   2581.4562139
     530.000    1609.8122113   1879.0413845   2439.7979204   2605.7041451
     540.000    1590.7921458   1924.9196225   2468.9529895   2630.2487419
     550.000    1571.3148723   1970.4818616   2497.1154216   2655.0798962
