#      T [K]      F [kJ/mol]    S [J/K/mol]  C_v [J/K/mol]     E [kJ/mol]
       0.000     139.1122677      0.0000000      0.0000000    139.1122677
      10.000     139.1122610      0.0033044      0.0117253    139.1122940
      20.000     139.1121161      0.0321414      0.1014559    139.1127589
      30.000     139.1114320      0.1177145      0.3892319    139.1149634
      40.000     139.1093840      0.3181092      1.1504771    139.1221084
      50.000     139.1043716      0.7279673      2.7436111    139.1407700
      60.000     139.0938026      1.4431748      5.3524166    139.1803931
      70.000     139.0742790      2.5257499      8.9363813    139.2510815
      80.000     139.0419847      3.9982553     13.3371631    139.3618451
      90.000     138.9930327      5.8545792     18.3749360    139.5199449
     100.000     138.9236868      8.0725782     23.8941928    139.7309446
     110.000     138.8304721     10.6232576     29.7750278    139.9990304
     120.000     138.7102144     13.4761555     35.9289893    140.3273531
     130.000     138.5600394     16.6020097     42.2905695    140.7183007
     140.000     138.3773547     19.9738019     48.8091943    141.1736870
     150.000     138.1598258     23.5669537     55.4432625    141.6948688
     160.000     137.9053524     27.3591427     62.1563239    142.2828152
     170.000     137.6120475     31.3299968     68.9149597    142.9381470
     180.000     137.2782195     35.4607899     75.6878314    143.6611616
     190.000     136.9023565     39.7341894     82.4454362    144.4518525
     200.000     136.4831142     44.1340661     89.1602280    145.3099274
     210.000     136.0193039     48.6453606     95.8068761    146.2348296
     220.000     135.5098826     53.2539940    102.3625254    147.2257613
     230.000     134.9539435     57.9468074    108.8069897    148.2817092
     240.000     134.3507069     62.7115217    115.1228491    149.4014721
     250.000     133.6995116     67.5367071    121.2954527    150.5836884
     260.000     132.9998066     72.4117571    127.3128370    151.8268635
     270.000     132.2511430     77.3268631    133.1655797    153.1293961
     280.000     131.4531661     82.2729871    138.8466076    154.4896025
     290.000     130.6056076     87.2418328    144.3509759    155.9057391
     300.000     129.7082790     92.2258124    149.6756347    157.3760228
     310.000     128.7610641     97.2180128    154.8191931    158.8986480
     320.000     127.7639124    102.2121581    159.7816900    160.4718030
     330.000     126.7168334    107.2025726    164.5643783    162.0936823
     340.000     125.6198905    112.1841417    169.1695246    163.7624986
     350.000     124.4731954    117.1522739    173.6002281    165.4764913
     360.000     123.2769035    122.1028631    177.8602587    167.2339342
     370.000     122.0312089    127.0322513    181.9539136    169.0331418
     380.000     120.7363400    131.9371935    185.8858931    170.8724735
     390.000     119.3925561    136.8148239    189.6611929    172.7503374
     400.000     118.0001430    141.6626236    193.2850126    174.6651924
     410.000     116.5594104    146.4783904    196.7626778    176.6155505
     420.000     115.0706884    151.2602105    200.0995756    178.5999768
     430.000     113.5343249    156.0064322    203.3011005    180.6170907
     440.000     111.9506831    160.7156415    206.3726105    182.6655654
     450.000     110.3201394    165.3866394    209.3193916    184.7441272
     460.000     108.6430811    170.0184211    212.1466293    186.8515548
     470.000     106.9199045    174.6101567    214.8593867    188.9866782
     480.000     105.1510137    179.1611743    217.4625873    191.1483773
     490.000     103.3368185    183.6709431    219.9610026    193.3355807
     500.000     101.4777337    188.1390596    222.3592436    195.5472635
     510.000      99.5741772    192.5652339    224.6617547    197.7824465
     520.000      97.6265694    196.9492775    226.8728109    200.0401938
     530.000      95.6353324    201.2910927    228.9965162    202.3196115
     540.000      93.6008884    205.5906623    231.0368047    204.6198460
     550.000      91.5236598    209.8480406    232.9974423    206.9400821
     560.000      89.4040679    214.0633456    234.8820296    209.2795414
     570.000      87.2425325    218.2367512    236.6940059    211.6374807
     580.000      85.0394718    222.3684805    238.4366534    214.0131905
     590.000      82.7953010    226.4588003    240.1131025    216.4059931
     600.000      80.5104328    230.5080150    241.7263365    218.8152418
     610.000      78.1852766    234.5164624    243.2791977    221.2403186
     620.000      75.8202382    238.4845086    244.7743923    223.6806335
     630.000      73.4157198    242.4125446    246.2144965    226.1356229
     640.000      70.9721193    246.3009824    247.6019620    228.6047480
     650.000      68.4898307    250.1502519    248.9391213    231.0874944
     660.000      65.9692433    253.9607982    250.2281935    233.5833702
     670.000      63.4107423    257.7330788    251.4712894    236.0919051
     680.000      60.8147078    261.4675612    252.6704167    238.6126494
     690.000      58.1815155    265.1647214    253.8274852    241.1451732
     700.000      55.5115361    268.8250412    254.9443112    243.6890650
     710.000      52.8051358    272.4490074    256.0226226    246.2439311
     720.000      50.0626755    276.0371097    257.0640631    248.8093945
     730.000      47.2845115    279.5898399    258.0701964    251.3850946
     740.000      44.4709950    283.1076902    259.0425106    253.9706857
     750.000      41.6224723    286.5911527    259.9824218    256.5658368
     760.000      38.7392849    290.0407181    260.8912777    259.1702307
     770.000      35.8217693    293.4568751    261.7703615    261.7835632
     780.000      32.8702572    296.8401097    262.6208949    264.4055427
     790.000      29.8850753    300.1909044    263.4440416    267.0358898
     800.000      26.8665456    303.5097379    264.2409099    269.6743360
     810.000      23.8149855    306.7970845    265.0125559    272.3206239
     820.000      20.7307073    310.0534135    265.7599861    274.9745064
     830.000      17.6140191    313.2791892    266.4841599    277.6357461
     840.000      14.4652239    316.4748705    267.1859922    280.3041151
     850.000      11.2846204    319.6409105    267.8663555    282.9793944
     860.000       8.0725030    322.7777564    268.5260822    285.6613734
     870.000       4.8291612    325.8858491    269.1659665    288.3498499
     880.000       1.5548804    328.9656236    269.7867666    291.0446292
     890.000      -1.7500583    332.0175083    270.3892065    293.7455240
     900.000      -5.0853782    335.0419251    270.9739774    296.4523544
     910.000      -8.4508067    338.0392896    271.5417398    299.1649469
     920.000     -11.8460752    341.0100107    272.0931249    301.8831346
     930.000     -15.2709194    343.9544906    272.6287357    304.6067568
     940.000     -18.7250789    346.8731250    273.1491491    307.3356587
     950.000     -22.2082971    349.7663032    273.6549168    310.0696910
     960.000     -25.7203214    352.6344076    274.1465663    312.8087099
     970.000     -29.2609029    355.4778143    274.6246027    315.5525769
     980.000     -32.8297966    358.2968926    275.0895092    318.3011582
     990.000     -36.4267609    361.0920058    275.5417488    321.0543249
    1000.000     -40.0515580    363.8635104    275.9817646    323.8119525
