#      T [K]      F [kJ/mol]    S [J/K/mol]  C_v [J/K/mol]     E [kJ/mol]
       0.000    3415.3318369      0.0000000      0.0000000   3415.3318369
      10.000    3415.3316147      0.0950920      0.2990263   3415.3325656
      20.000    3415.3278690      0.8135091      2.5180271   3415.3441392
      30.000    3415.3108127      2.9036815      9.3121426   3415.3979231
      40.000    3415.2615574      7.4836760     25.3107942   3415.5609044
      50.000    3415.1475992     16.1255727     56.1395233   3415.9538778
      60.000    3414.9201875     30.4076893    105.1385992   3416.7446488
      70.000    3414.5168677     51.4430643    172.4432644   3418.1178822
      80.000    3413.8669720     79.7695472    256.2365177   3420.2485358
      90.000    3412.8968560    115.4729426    354.0767840   3423.2894208
     100.000    3411.5335706    158.3541340    463.6019648   3427.3689840
     110.000    3409.7070194    208.0592240    582.7601878   3432.5935340
     120.000    3407.3510581    264.1619590    709.8185968   3439.0504931
     130.000    3404.4039615    326.2102994    843.3016290   3446.8113004
     140.000    3400.8085465    393.7506902    981.9244705   3455.9336431
     150.000    3396.5121203    466.3398349   1124.5425623   3466.4630955
     160.000    3391.4663484    543.5499897   1270.1193353   3478.4343467
     170.000    3385.6270859    624.9711436   1417.7082243   3491.8721803
     180.000    3378.9541958    710.2118324   1566.4440358   3506.7923257
     190.000    3371.4113617    798.8994202   1715.5395616   3523.2022515
     200.000    3362.9658989    890.6802050   1864.2845335   3541.1019399
     210.000    3353.5885648    985.2194650   2012.0450941   3560.4846524
     220.000    3343.2533692   1082.2014611   2158.2627809   3581.3376907
     230.000    3331.9373846   1181.3293739   2302.4525795   3603.6431406
     240.000    3319.6205576   1282.3251494   2444.1999560   3627.3785934
     250.000    3306.2855226   1384.9292361   2583.1569739   3652.5178316
     260.000    3291.9174185   1488.9002067   2719.0376990   3679.0314723
     270.000    3276.5037101   1594.0142672   2851.6131232   3706.8875622
     280.000    3260.0340139   1700.0646666   2980.7058301   3736.0521206
     290.000    3242.4999319   1806.8610202   3106.1845967   3766.4896278
     300.000    3223.8948912   1914.2285659   3227.9590864   3798.1634609
     310.000    3204.2139913   2022.0073722   3345.9747554   3831.0362767
     320.000    3183.4538607   2130.0515139   3460.2080534   3865.0703452
     330.000    3161.6125205   2238.2282329   3570.6619765   3900.2278373
     340.000    3138.6892569   2346.4170963   3677.3619989   3936.4710696
     350.000    3114.6845024   2454.5091651   3780.3523978   3973.7627102
     360.000    3089.5997248   2562.4061812   3879.6929649   4012.0659501
     370.000    3063.4373245   2670.0197813   3975.4560932   4051.3446436
     380.000    3036.2005389   2777.2707424   4067.7242158   4091.5634211
     390.000    3007.8933553   2884.0882634   4156.5875745   4132.6877780
     400.000    2978.5204295   2990.4092845   4242.1422882   4174.6841433
     410.000    2948.0870119   3096.1778470   4324.4886942   4217.5199291
     420.000    2916.5988796   3201.3444925   4403.7299337   4261.1635664
     430.000    2884.0622741   3305.8657030   4479.9707556   4305.5845263
     440.000    2850.4838445   3409.7033792   4553.3165117   4350.7533313
     450.000    2815.8705960   3512.8243575   4623.8723215   4396.6415569
     460.000    2780.2298424   3615.1999632   4691.7423834   4443.2218254
     470.000    2743.5691637   3716.8055978   4757.0294140   4490.4677946
     480.000    2705.8963670   3817.6203599   4819.8341976   4538.3541398
     490.000    2667.2194516   3917.6266968   4880.2552302   4586.8565330
     500.000    2627.5465766   4016.8100842   4938.3884439   4635.9516187
     510.000    2586.8860326   4115.1587335   4994.3270006   4685.6169867
     520.000    2545.2462157   4212.6633243   5048.1611435   4735.8311443
     530.000    2502.6356036   4309.3167593   5099.9780969   4786.5734860
     540.000    2459.0627349   4405.1139412   5149.8620074   4837.8242631
     550.000    2414.5361901   4500.0515692   5197.8939188   4889.5645531
     560.000    2369.0645745   4594.1279533   5244.1517742   4941.7762283
     570.000    2322.6565028   4687.3428459   5288.7104416   4994.4419250
     580.000    2275.3205858   4779.6972881   5331.6417572   5047.5450130
     590.000    2227.0654180   4871.1934703   5373.0145841   5101.0695655
     600.000    2177.8995667   4961.8346053   5412.8948815   5155.0003299
     610.000    2127.8315624   5051.6248137   5451.3457833   5209.3226988
     620.000    2076.8698905   5140.5690193   5488.4276829   5264.0226825
     630.000    2025.0229833   5228.6728548   5524.1983230   5319.0868819
     640.000    1972.2992139   5315.9425757   5558.7128881   5374.5024623
     650.000    1918.7068896   5402.3849832   5592.0240989   5430.2571287
     660.000    1864.2542477   5488.0073538   5624.1823075   5486.3391012
     670.000    1808.9494504   5572.8173756   5655.2355922   5542.7370920
     680.000    1752.8005812   5656.8230911   5685.2298516   5599.4402832
     690.000    1695.8156418   5740.0328455   5714.2088972   5656.4383052
     700.000    1638.0025489   5822.4552397   5742.2145439   5713.7212167
     710.000    1579.3691322   5904.0990880   5769.2866987   5771.2794847
     720.000    1519.9231323   5984.9733803   5795.4634462   5829.1039662
     730.000    1459.6721993   6065.0872478   5820.7811318   5887.1858902
     740.000    1398.6238913   6144.4499321   5845.2744425   5945.5168411
     750.000    1336.7856736   6223.0707575   5868.9764835   6004.0887417
     760.000    1274.1649178   6300.9591064   5891.9188530   6062.8938386
     770.000    1210.7689016   6378.1243968   5914.1317137   6121.9246872
