#      T [K]      F [kJ/mol]    S [J/K/mol]  C_v [J/K/mol]     E [kJ/mol]
       0.000    1302.6734278      0.0000000      0.0000000   1302.6734278
      10.000    1302.6733656      0.0298715      0.1040629   1302.6736643
      20.000    1302.6720728      0.2862980      0.9026267   1302.6777988
      30.000    1302.6659958      1.0423587      3.4093219   1302.6972666
      40.000    1302.6480258      2.7701923      9.8075780   1302.7588335
      50.000    1302.6048148      6.2325949     23.0637337   1302.9164445
      60.000    1302.5148727     12.2361292     44.9334460   1303.2490404
      70.000    1302.3497101     21.3432204     75.3543534   1303.8437355
      80.000    1302.0768136     33.8004525    113.1839412   1304.7808498
      90.000    1301.6625145     49.6088211    156.9870157   1306.1273084
     100.000    1301.0739486     68.6215138    205.4519724   1307.9360999
     110.000    1300.2801291     90.6200176    257.5201314   1310.2483310
     120.000    1299.2524056    115.3613940    312.3755816   1313.0957728
     130.000    1297.9645669    142.6034963    369.3888551   1316.5030214
     140.000    1296.3927682    172.1163757    428.0580449   1320.4890608
     150.000    1294.5153852    203.6860701    487.9628913   1325.0682957
     160.000    1292.3128520    237.1146978    548.7343283   1330.2512036
     170.000    1289.7675068    272.2190784    610.0369502   1336.0447501
     180.000    1286.8634532    308.8290212    671.5606049   1342.4526770
     190.000    1283.5864381    346.7857868    733.0176240   1349.4757376
     200.000    1279.9237440    385.9408869    794.1430303   1357.1119214
     210.000    1275.8640906    426.1552209    854.6959143   1365.3566870
     220.000    1271.3975441    467.2984831    914.4608902   1374.2032104
     230.000    1266.5154318    509.2487565    973.2490594   1383.6426458
     240.000    1261.2102592    551.8922202   1030.8982560   1393.6643921
     250.000    1255.4756308    595.1229107   1087.2725612   1404.2563584
     260.000    1249.3061721    638.8424983   1142.2611844   1415.4052217
     270.000    1242.6974550    682.9600550   1195.7768560   1427.0966699
     280.000    1235.6459245    727.3917977   1247.7538873   1439.3156279
     290.000    1228.1488289    772.0608064   1298.1460378   1452.0464628
     300.000    1220.2041528    816.8967154   1346.9243094   1465.2731674
     310.000    1211.8105527    861.8353829   1394.0747590   1478.9795215
     320.000    1202.9672974    906.8185455   1439.5963967   1493.1492320
     330.000    1193.6742099    951.7934619   1483.4992165   1507.7660523
     340.000    1183.9316148    996.7125545   1525.8023865   1522.8138833
     350.000    1173.7402880   1041.5330522   1566.5326144   1538.2768562
     360.000    1163.1014105   1086.2166407   1605.7226898   1554.1394012
     370.000    1152.0165259   1130.7291221   1643.4102018   1570.3863011
     380.000    1140.4875002   1175.0400888   1679.6364228   1587.0027340
     390.000    1128.5164860   1219.1226129   1714.4453456   1603.9743050
